,prompt template
52,"The following are multiple choice questions (with answers) about {topic}- , {question}- , Answers:  , {choices}- , Answer:"
53,"The following are multiple choice questions (with answers) about {topic}-; 
{question}-; 
Answers:; 
 {choices}-; 
Answer:"
54,"The following are multiple choice questions (with answers) about {topic}.
{question}.
Answers: 
{choices}.
Answer:"
55,"The following are multiple choice questions (with answers) about {topic}. 
{question}. 
Answers:  
{choices}. 
Answer:"
56,"The following are multiple choice questions (with answers) about {topic}. , {question}. , Answers:  , {choices}. , Answer:"
57,The following are multiple choice questions (with answers) about {topic}. {question}. Answers:  {choices}. Answer:
58,The following are multiple choice questions (with answers) about {topic}. {question}. Answers:  {choices}. Answer:
59,"The following are multiple choice questions (with answers) about {topic}., {question}., Answers: , {choices}., Answer:"
60,"The following are multiple choice questions (with answers) about {topic}:
{question}:
Answers: 
{choices}:
Answer:"
61,The following are multiple choice questions (with answers) about {topic}: {question}: Answers:  {choices}: Answer:
62,The following are multiple choice questions (with answers) about {topic}: {question}: Answers:  {choices}: Answer:
63,"The following are multiple choice questions (with answers) about {topic}<sep>
 {question}<sep>
 Answers:
  {choices}<sep>
 Answer:"
64,"The following are multiple choice questions (with answers) about {topic}\
 {question}\
 Answers: 
 {choices}\
 Answer:"
65,The following are multiple choice questions (with answers) about {topic}\  {question}\  Answers:   {choices}\  Answer:
66,"The following are multiple choice questions (with answers) about {topic}\, {question}\, Answers: , {choices}\, Answer:"
67,"The following are multiple choice questions (with answers) about {topic}]
 {question}]
 Answers:
  {choices}]
 Answer:"
68,The following are multiple choice questions (with answers) about {topic}] {question}] Answers:  {choices}] Answer:
69,The following are multiple choice questions (with answers) about {topic}] {question}] Answers: {choices}] Answer:
70,The following are multiple choice questions (with answers) about {topic}| {question}| Answers:  {choices}| Answer:
71,The following are multiple choice questions (with answers) about {topic}|{question}|Answers: {choices}|Answer:
72,"The, following, are, multiple, choice, questions, (WITH, answers), about, {topic}!, {question}!, Answers:, {choices}!, Answer:"
73,"The, following, are, multiple, choice, questions, (WITH, answers), about, {topic}., {question}., Answers:, {choices}., Answer:"
74,"The, following, are, multiple, choice, questions, (WITH, answers), about, {topic}:, {question}:, Answers:, {choices}:, Answer:"
75,"The, following, are, multiple, choice, questions, (with, answers), about, {topic}., {question}., Answers., {choices}., Answer."
76,"The, following, are, multiple, choice, questions, (with, answers), about, {topic}/, {question}/, Answers:, {choices}/, Answer:"
77,"The, following, are, multiple, choice, questions, (with, answers), about, {topic}/, {question}/, Answers:, {choices}/, Answer:"
78,"The, following, are, multiple, choice, questions, (with, answers), about, {topic}], {question}], Answers], {choices}], Answer]"
79,"The, following, are, multiple, choice, questions, (with, answers), about, {topic}|, {question}|, Answers:, {choices}|, Answer:"
80,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(WITH; 
answers); 
about; 
{topic}""; 
{question}""; 
Answers:; 
{choices}""; 
Answer:"
81,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(WITH; 
answers); 
about; 
{topic}-; 
{question}-; 
Answers:; 
{choices}-; 
Answer:"
82,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(With; 
answers); 
about; 
{topic}'; 
{question}'; 
Answers:; 
{choices}'; 
Answer:"
83,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(With; 
answers); 
about; 
{topic}/; 
{question}/; 
Answers:; 
{choices}/; 
Answer:"
84,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(With; 
answers); 
about; 
{topic}\; 
{question}\; 
Answers:; 
{choices}\; 
Answer:"
85,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(with; 
answers); 
about; 
{topic}!; 
{question}!; 
Answers:; 
{choices}!; 
Answer:"
86,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(with; 
answers); 
about; 
{topic}""; 
{question}""; 
Answers:; 
{choices}""; 
Answer:"
87,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(with; 
answers); 
about; 
{topic}'; 
{question}'; 
Answers:; 
{choices}'; 
Answer:"
88,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(with; 
answers); 
about; 
{topic}:; 
{question}:; 
Answers:; 
{choices}:; 
Answer:"
89,"The; 
following; 
are; 
multiple; 
choice; 
questions; 
(with; 
answers); 
about; 
{topic}|; 
{question}|; 
Answers|; 
{choices}|; 
Answer|"
90,Thefollowingaremultiplechoicequestions(WITHanswers)about{topic}-{question}-Answers:{choices}-Answer:
91,Thefollowingaremultiplechoicequestions(WITHanswers)about{topic}/{question}/Answers:{choices}/Answer:
92,Thefollowingaremultiplechoicequestions(WITHanswers)about{topic}|{question}|Answers:{choices}|Answer:
93,Thefollowingaremultiplechoicequestions(Withanswers)about{topic}<sep>{question}<sep>Answers:{choices}<sep>Answer:
94,"Thefollowingaremultiplechoicequestions(withanswers)about{topic}""{question}""Answers""{choices}""Answer"""
95,Thefollowingaremultiplechoicequestions(withanswers)about{topic}-{question}-Answers:{choices}-Answer:
96,Thefollowingaremultiplechoicequestions(withanswers)about{topic}/{question}/Answers:{choices}/Answer:
97,Thefollowingaremultiplechoicequestions(withanswers)about{topic}\{question}\Answers:{choices}\Answer:
98,Thefollowingaremultiplechoicequestions(withanswers)about{topic}|{question}|Answers:{choices}|Answer:
99,Thefollowingaremultiplechoicequestions(withanswers)about{topic}|{question}|Answers:{choices}|Answer:
